CompetitionID,MatchID,ID,Index,Period,Time,TypeID,TypeName,Possession,PossessionTeamID,TeamID,PlayerID,PositionID,PositionName,StartX,StartY,StartZ,Duration,IsUnderPressure,IsOffCamera,RelatedEvents,Tactics,xOBVForAfter_StatsBomb,xOBVForBefore_StatsBomb,xOBVForNet_StatsBomb,xOBVAgainstAfter_StatsBomb,xOBVAgainstBefore_StatsBomb,xOBVAgainstNet_StatsBomb,xOBVTotalNet_StatsBomb,Attributes,SubstitutionReplacementID,IsSuccessful,Outcome,BodyPart,PassRecipientID,xG_StatsBomb,PSxG_StatsBomb,ShotFreezeFrame,EndX,EndY,EndZ,StartZoneNumber,EndZoneNumber,TravelledDistance,DistanceToGoal,AngleToGoal,ActionAngle,IsOpenPlay,IsCounter
6,3841808,4c4ffaaf-a00a-4e75-bbab-14d7a4e0085a,8,1,4.213,30,Pass,2,800,800,30618,5,Left Center Back,35.18571,30.61309,NULL,3.39715,NULL,0,['87cd356b-e927-4d9a-8615-f5c55b634f9c'],NULL,0.025,0.01375,0.01125,0.00958,0.0106,-0.00102,0.01227,['High Pass'],NULL,1,NULL,Right Foot,23555,NULL,NULL,NULL,77.95715,55.62089,NULL,13,25,49.54579,69.89639,2.77742,59.68583,1,0
6,3841808,87cd356b-e927-4d9a-8615-f5c55b634f9c,9,1,7.61,42,Ball Receipt,2,800,800,23555,17,Right Wing,77.95715,55.62089,NULL,NULL,NULL,0,['4c4ffaaf-a00a-4e75-bbab-14d7a4e0085a'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,77.95715,55.62089,NULL,25,25,0,34.62339,-38.6425,0,1,0
6,3841808,25d32658-1b70-4c1a-89f6-90ff0af31dec,10,1,7.61,4,Duel,2,800,814,8117,6,Left Back,27.12857,12.456,NULL,0,1,0,['9b407bf2-5c78-4c7a-bc1c-45574e8cf9e2'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Aerial duel lost'],NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,27.12857,12.456,NULL,6,6,0,80.79668,15.4647,0,1,0
6,3841808,9b407bf2-5c78-4c7a-bc1c-45574e8cf9e2,11,1,7.61,30,Pass,2,800,800,23555,17,Right Wing,77.95715,55.62089,NULL,2.690483,1,0,"['25d32658-1b70-4c1a-89f6-90ff0af31dec', 'd10b4503-db3a-4762-8f92-b6a9b9beda44']",NULL,0.03306,0.025,0.00806,0.00811,0.00958,-0.00146,0.00952,"['High Pass', 'Aerial duel won']",NULL,1,NULL,Head,23238,NULL,NULL,NULL,92.35,57.54311,NULL,25,30,14.52065,34.62339,-38.6425,82.39294,1,0
6,3841808,c484d807-234e-4db8-bdeb-0c63db1aea9b,12,1,9.753,17,Pressure,2,800,814,21776,5,Left Center Back,12.28333,11.764,NULL,1.270502,NULL,0,"['d10b4503-db3a-4762-8f92-b6a9b9beda44', 'd1ed8e13-84fe-4700-901c-463fdb25a924']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.28333,11.764,NULL,1,1,0,95.34579,13.48638,0,1,0
6,3841808,d10b4503-db3a-4762-8f92-b6a9b9beda44,13,1,10.3,42,Ball Receipt,2,800,800,23238,23,Center Forward,92.35,57.54311,NULL,NULL,1,0,"['9b407bf2-5c78-4c7a-bc1c-45574e8cf9e2', 'c484d807-234e-4db8-bdeb-0c63db1aea9b']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,92.35,57.54311,NULL,30,30,0,26.7264,-61.75032,0,1,0
6,3841808,d1ed8e13-84fe-4700-901c-463fdb25a924,14,1,10.3,43,Carry,2,800,800,23238,23,Center Forward,92.35,57.54311,NULL,2.258384,1,0,"['5f3059b3-f26d-4508-8d5f-aad382e3886a', 'c484d807-234e-4db8-bdeb-0c63db1aea9b', 'd10b4503-db3a-4762-8f92-b6a9b9beda44']",NULL,0.0297,0.03306,-0.00336,0.00833,0.00811,0.00021,-0.00357,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,102.7083,63.77111,NULL,30,30,12.08648,26.7264,-61.75032,58.9834,1,0
6,3841808,5f3059b3-f26d-4508-8d5f-aad382e3886a,15,1,12.559,30,Pass,2,800,800,23238,23,Center Forward,102.7083,63.77111,NULL,0.191779,NULL,0,['3c9a62f1-0387-4056-9470-0604bcd65f8a'],NULL,0.04272,0.0297,0.01302,0.00908,0.00833,0.00076,0.01226,['Ground Pass'],NULL,0,Incomplete,Right Foot,NULL,NULL,NULL,NULL,102.8917,60.23422,NULL,30,30,3.541637,29.85918,-85.59827,2.96725,1,0
6,3841808,3c9a62f1-0387-4056-9470-0604bcd65f8a,16,1,12.75,6,Block,2,800,814,21776,5,Left Center Back,2.2,7.842667,NULL,0,NULL,0,['5f3059b3-f26d-4508-8d5f-aad382e3886a'],NULL,0.00908,0.00833,0.00076,0.04272,0.0297,0.01302,-0.01226,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2.2,7.842667,NULL,1,1,0,106.0757,14.27589,0,1,0
6,3841808,279acb79-00f4-447b-9743-1b6f8b2a1a45,17,1,31.237,30,Pass,3,800,800,12707,19,Center Attacking Midfield,105,68,NULL,1.589602,NULL,0,['870fc85f-dad5-4ae3-a97b-ed5b3bf39329'],NULL,0.03079,0.04272,-0.01193,0.00857,0.00908,-0.00052,-0.01141,"['Corner', 'Ground Pass']",NULL,1,NULL,Right Foot,29497,NULL,NULL,NULL,84.64286,57.92756,NULL,30,25,22.71272,34,-90,-63.6744,0,0
6,3841808,870fc85f-dad5-4ae3-a97b-ed5b3bf39329,18,1,32.827,42,Ball Receipt,3,800,800,29497,2,Right Back,84.64286,57.92756,NULL,NULL,NULL,0,['279acb79-00f4-447b-9743-1b6f8b2a1a45'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,84.64286,57.92756,NULL,25,25,0,31.41562,-49.60945,0,0,0
6,3841808,a87f3343-ca0a-4312-9fbc-e5f355c9af00,19,1,32.827,43,Carry,3,800,800,29497,2,Right Back,84.64286,57.92756,NULL,1.106254,NULL,0,"['4865fe46-e214-452f-8aa0-4c58e377bf07', '870fc85f-dad5-4ae3-a97b-ed5b3bf39329']",NULL,0.03079,0.03079,0,0.00857,0.00857,0,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,84.64286,57.92756,NULL,25,25,0,31.41562,-49.60945,0,0,0
6,3841808,4865fe46-e214-452f-8aa0-4c58e377bf07,20,1,33.933,30,Pass,3,800,800,29497,2,Right Back,84.64286,57.92756,NULL,1.710702,NULL,0,['cedb5bbb-c106-4089-aa6b-5707f7beb724'],NULL,0.03211,0.03079,0.00132,0.0091,0.00857,0.00053,0.00079,"['High Pass', 'Cross']",NULL,0,Incomplete,Right Foot,NULL,NULL,NULL,NULL,96.2,28.872,NULL,25,28,31.26968,31.41562,-49.60945,21.69069,0,0
6,3841808,cedb5bbb-c106-4089-aa6b-5707f7beb724,21,1,35.644,9,Clearance,3,800,814,88560,3,Right Center Back,8.891666,39.21964,NULL,0,1,0,['4865fe46-e214-452f-8aa0-4c58e377bf07'],NULL,0.0091,0.00857,0.00053,0.03211,0.03079,0.00132,-0.00079,NULL,NULL,1,NULL,Head,NULL,NULL,NULL,NULL,8.891666,39.21964,NULL,3,3,0,96.24997,-3.108675,0,0,0
6,3841808,ec75e262-0b78-4670-8ad2-1c7b5e6db91f,22,1,38.243,30,Pass,3,800,800,21582,9,Right Defensive Midfield,76.32858,34.00364,NULL,2.116871,1,0,"['13271614-6499-47a1-820a-4c0fa0b23cc6', '7a7f299d-850c-4a8d-a224-aed88368f697']",NULL,0.01385,0.01332,0.00052,0.00873,0.0054,0.00333,-0.00281,"['Recovery', 'High Pass', 'Aerial duel won', 'Possession Loss']",NULL,0,Incomplete,Head,NULL,NULL,NULL,NULL,85.67142,17.59833,NULL,23,22,18.87917,28.67143,-0.007266757,29.66161,0,0
6,3841808,7a7f299d-850c-4a8d-a224-aed88368f697,23,1,38.243,4,Duel,3,800,814,26718,9,Right Defensive Midfield,28.75714,34.088,NULL,0,1,0,['ec75e262-0b78-4670-8ad2-1c7b5e6db91f'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Aerial duel lost'],NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,28.75714,34.088,NULL,8,8,0,76.2429,-0.06613113,0,0,0
6,3841808,13271614-6499-47a1-820a-4c0fa0b23cc6,24,1,40.359,2,Ball Recovery,4,814,814,7353,2,Right Back,19.41429,50.49333,NULL,0,NULL,0,['ec75e262-0b78-4670-8ad2-1c7b5e6db91f'],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,['Possession Gain'],NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,19.41429,50.49333,NULL,9,9,0,87.16045,-10.90783,0,1,0
6,3841808,7b99ff3d-ae4c-4d2b-8dc1-1809d629de87,25,1,40.359,43,Carry,4,814,814,7353,2,Right Back,19.41429,50.49333,NULL,1.381808,1,0,"['13271614-6499-47a1-820a-4c0fa0b23cc6', '530ceab9-9f17-45a7-8826-359a66bcbedf', 'cca218a5-6db6-4a31-816f-f04e03af5fb2']",NULL,0.00944,0.0091,0.00034,0.01434,0.03211,-0.01776,0.01811,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,20.61429,51.685,NULL,9,9,1.691174,87.16045,-10.90783,45.19963,1,0
6,3841808,cca218a5-6db6-4a31-816f-f04e03af5fb2,26,1,41.395,17,Pressure,4,814,800,30618,5,Left Center Back,82.67142,18.60667,NULL,0.451506,NULL,0,"['530ceab9-9f17-45a7-8826-359a66bcbedf', '7b99ff3d-ae4c-4d2b-8dc1-1809d629de87']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82.67142,18.60667,NULL,22,22,0,27.12047,34.58241,0,1,0
6,3841808,530ceab9-9f17-45a7-8826-359a66bcbedf,27,1,41.741,30,Pass,4,814,814,7353,2,Right Back,20.61429,51.685,NULL,1.260301,1,0,"['3372cc42-6415-4190-802b-a18e416e16e6', 'cca218a5-6db6-4a31-816f-f04e03af5fb2']",NULL,0.01108,0.00944,0.00164,0.0116,0.01434,-0.00274,0.00438,['Low Pass'],NULL,1,NULL,Right Foot,15546,NULL,NULL,NULL,32.1,55.15956,NULL,9,10,11.99976,86.21896,-11.83637,73.16885,1,0
6,3841808,cb06a7de-a941-4ab9-8757-1fea208b8c35,28,1,42.863,17,Pressure,4,814,800,133263,6,Left Back,69.9,12.53289,NULL,0.436117,NULL,0,"['1a6ce321-4229-4213-a7fc-4e36ef22b1bc', '3372cc42-6415-4190-802b-a18e416e16e6']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.9,12.53289,NULL,16,16,0,41.14422,31.4499,0,1,0
6,3841808,3372cc42-6415-4190-802b-a18e416e16e6,29,1,43.002,42,Ball Receipt,4,814,814,15546,19,Center Attacking Midfield,32.1,55.15956,NULL,NULL,1,0,"['530ceab9-9f17-45a7-8826-359a66bcbedf', 'cb06a7de-a941-4ab9-8757-1fea208b8c35']",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,32.1,55.15956,NULL,10,10,0,75.90874,-16.18561,0,1,0
6,3841808,1a6ce321-4229-4213-a7fc-4e36ef22b1bc,30,1,43.002,43,Carry,4,814,814,15546,19,Center Attacking Midfield,32.1,55.15956,NULL,0.502453,1,0,"['0e32ce59-280f-492a-a82d-b4edb162fd02', '3372cc42-6415-4190-802b-a18e416e16e6', 'cb06a7de-a941-4ab9-8757-1fea208b8c35', 'fd4db448-7cfe-4671-81d4-2e50d7b00649']",NULL,0.01192,0.01108,0.00084,0.01067,0.0116,-0.00093,0.00177,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,32.52857,55.08267,NULL,10,10,0.435414,75.90874,-16.18561,79.82892,1,0
